danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness,hit
0.763,0.628,11,0.05,0.0531,0.0,0.114,0.193,140.958,190557,-5.85,1
0.689,0.723,0,0.0836,0.0985,0.0,0.158,0.288,160.042,217828,-4.052,0
0.81,0.582,5,0.125,0.0862,0.00681,0.207,0.503,95.004,209116,-5.098,0
0.603,0.866,6,0.0443,0.0819,0.0,0.0521,0.543,94.057,187027,-3.541,1
0.638,0.738,6,0.0292,0.117,0.000384,0.689,0.657,97.021,243147,-4.976,0
0.544,0.781,6,0.0311,0.00585,0.0,0.191,0.527,144.075,221800,-6.16,0
0.461,0.593,1,0.0356,0.17,0.0,0.307,0.175,134.17,228373,-4.954,1
0.925,0.31,11,0.291,0.123,0.0,0.0931,0.291,121.927,145507,-6.531,0
0.514,0.693,9,0.408,0.177,0.0,0.351,0.287,110.568,240640,-5.868,1
0.678,0.533,4,0.186,0.462,0.219,0.139,0.323,150.455,180953,-10.485,1
0.413,0.677,1,0.255,0.0249,0.0,0.0793,0.0845,172.501,302173,-5.12,1
0.761,0.598,10,0.182,0.128,0.0,0.0839,0.447,173.897,163974,-7.249,0
0.758,0.474,1,0.146,0.015,0.0,0.116,0.0541,76.062,184960,-8.72,1
0.888,0.372,7,0.358,0.013,0.0,0.184,0.123,133.998,162800,-10.254,0
0.448,0.826,2,0.0319,0.00756,0.0,0.117,0.19,77.093,254805,-3.244,0
0.529,0.69,2,0.74,0.161,0.0,0.498,0.311,170.54,195720,-7.87,1
0.875,0.644,1,0.222,0.267,0.0,0.125,0.788,139.086,240682,-6.554,1
0.884,0.579,2,0.299,0.064,2.38e-06,0.182,0.313,144.973,176630,-6.847,1
0.872,0.391,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,-9.144,0
0.487,0.849,1,0.246,0.0481,0.0,0.143,0.52,152.093,216333,-5.432,1
0.775,0.482,1,0.0357,0.477,0.0456,0.11,0.134,136.016,247893,-11.269,1
0.85,0.473,10,0.209,0.117,0.0105,0.108,0.38,85.454,157605,-5.747,0
0.903,0.503,11,0.335,0.0744,2.09e-05,0.125,0.203,125.0,181894,-9.188,0
0.868,0.548,1,0.171,0.233,2.67e-06,0.181,0.557,139.999,204311,-7.864,1
0.933,0.488,1,0.149,0.0106,0.00107,0.0958,0.21,142.064,175775,-9.327,0
0.831,0.782,0,0.15,0.21,0.0,0.113,0.199,141.869,191437,-6.274,1
0.686,0.215,9,0.0387,0.85,0.000123,0.106,0.273,91.998,206027,-13.54,0
0.698,0.547,1,0.315,0.727,0.0,0.159,0.548,83.801,226907,-7.607,1
0.657,0.571,2,0.14,0.106,0.00121,0.0735,0.626,167.961,207307,-12.519,1
0.5,0.448,0,0.442,0.422,8.03e-06,0.115,0.104,144.204,219960,-10.977,1
0.558,0.415,10,0.358,0.406,0.0,0.36,0.317,127.096,309560,-7.355,0
0.934,0.505,11,0.168,0.0229,0.0,0.0867,0.691,139.93,181714,-7.648,1
0.734,0.57,7,0.133,0.847,2.14e-05,0.112,0.689,129.953,95467,-7.066,0
0.683,0.776,1,0.341,0.15,0.0,0.227,0.223,173.996,188773,-3.251,0
0.733,0.678,6,0.438,0.121,0.0,0.344,0.841,175.985,142000,-7.771,1
0.699,0.304,1,0.0993,0.779,0.000993,0.137,0.271,119.705,160184,-11.192,1
0.559,0.58,10,0.0281,0.549,0.00197,0.101,0.389,80.993,218053,-8.076,1
0.876,0.519,11,0.143,0.202,0.0,0.108,0.158,94.981,175230,-6.531,1
0.762,0.7,9,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,209320,-6.021,0
0.655,0.603,8,0.0555,0.0959,0.0,0.107,0.452,126.088,190643,-5.014,1
0.783,0.84,1,0.051,0.174,0.0,0.412,0.839,95.001,200480,-3.416,1
0.491,0.867,6,0.103,0.167,0.0,0.458,0.602,167.965,189187,-2.313,0
0.809,0.845,10,0.352,0.224,0.0,0.638,0.67,90.015,176990,-5.843,0
0.813,0.488,11,0.257,0.187,0.000132,0.231,0.688,139.983,244133,-7.737,0
0.671,0.859,4,0.0833,0.0323,0.0,0.267,0.389,139.931,209355,-3.922,0
0.836,0.544,7,0.0943,0.0403,0.0,0.0824,0.51,97.028,217947,-5.975,1
0.735,0.677,2,0.093,0.0762,2.17e-05,0.111,0.188,100.584,211440,-4.979,1
0.585,0.597,0,0.037,0.339,0.0404,0.195,0.227,100.051,324674,-7.499,1
